,station,nb_jour,quantile_80,quantile_90,quantile_85
0,2501000101,6214,0,0,0
1,2503000101,6879,241,0,86
2,2521000102,6427,3968,3293,3734
3,5041000101,7227,6082,6082,6082
4,5221000101,7491,6635,6632,6634
5,6020000101,7055,6459,6457,6458
6,8032000101,6789,6070,6068,6069
7,9104000101,7120,6683,6672,6683
8,A022020001,7458,0,0,0
9,A041030001,7348,1758,0,943
10,A053074001,6225,0,0,0
11,A100003001,7134,0,0,0
12,A105003001,7649,4217,2921,3771
13,A107020001,7648,0,0,0
14,A112010001,7649,480,2,186
15,A115020001,7649,3986,3057,3625
16,A116003002,7649,5919,5544,5788
17,A120020302,7596,0,0,0
18,A124020101,7175,5388,4715,5142
19,A125020001,7648,5300,4301,4912
20,A133003001,7649,7385,7221,7333
21,A140202001,7649,0,0,0
22,A143020002,7649,6856,6135,6615
23,A146020302,7647,7035,6496,6871
24,A147004001,7649,7477,7353,7431
25,A150020001,7483,383,1,156
26,A152020001,7648,3076,2007,2839
27,A161003001,7648,7648,7648,7648
28,A201010001,6890,4706,4069,4508
29,A202030001,7648,2292,735,1660
30,A204010201,7149,5764,5258,5568
31,A211030001,7649,48,0,0
32,A212020001,7164,4182,2985,3750
33,A214010001,7648,7032,6621,6881
34,A226020001,6252,5830,5586,5738
35,A228003001,7649,7649,7649,7649
36,A231020001,7649,2054,846,1703
37,A234021001,7649,2396,1437,2122
38,A235020001,7029,3865,3092,3658
39,A236003001,7156,7156,7156,7156
40,A237003001,7412,7412,7412,7412
41,A242020101,7312,3085,1084,2399
42,A243003001,7649,7649,7649,7649
43,A251020001,7649,0,0,0
44,A261020001,7649,0,0,0
45,A273011002,7649,6474,5763,6197
46,A284020001,7648,255,0,0
47,A285011001,7136,6092,5380,5852
48,A286011003,7649,6597,6093,6453
49,A302009050,7649,7649,7649,7649
50,A325021001,7649,1784,217,1084
51,A330010001,7649,6662,6159,6505
52,A341020001,7649,2504,1411,2032
53,A343021001,7208,142,0,8
54,A348020001,7649,5945,5427,5831
55,A350010001,7648,6637,6511,6603
56,A368021001,7649,446,14,194
57,A369011001,7649,4834,3978,4503
58,A373020001,7649,1740,916,1466
59,A380020001,7649,4736,1475,3650
60,A402061001,7624,4447,3752,4111
61,A405062001,7641,7091,6516,6902
62,A414020201,7400,7200,6925,7124
63,A417301001,7571,3525,2776,3133
64,A420063001,7644,7631,7615,7626
65,A433301001,7541,2712,1287,2145
66,A436203001,7634,7584,7245,7496
67,A443064001,7649,7649,7649,7649
68,A463201001,7453,1091,25,620
69,A511061002,6174,6130,6104,6119
70,A523011001,6175,2325,1782,2102
71,A524201001,7628,1595,382,1163
72,A526102001,7639,5147,4474,4922
73,A543101001,7636,6085,5796,5999
74,A550061001,7640,7640,7640,7640
75,A573061001,7633,7445,7417,7435
76,A600101001,7644,3825,2024,3231
77,A605102001,7644,6922,6515,6822
78,A615103001,7636,7109,7018,7076
79,A623201001,7616,4843,19,2859
80,A634101001,7564,7564,7564,7564
81,A643112002,6184,1324,399,938
82,A654111001,7623,5217,4606,5015
83,A657111001,7632,5628,5207,5487
84,A670121001,7630,4827,4061,4590
85,A673122001,7649,5599,5015,5422
86,A676101001,7648,6819,6787,6810
87,A687201001,7595,4137,3031,3734
88,A692101001,7635,6874,6843,6858
89,A701061001,7649,7350,7341,7345
90,A712201001,7622,2097,967,1783
91,A735201001,7649,4034,3213,3723
92,A758102001,7640,4330,3062,3876
93,A770101001,7648,5685,5098,5493
94,A782101001,7649,6047,5575,5885
95,A800621001,7646,35,0,1
96,A802101001,7633,2382,1505,2084
97,A807101001,7643,4727,3906,4424
98,A812200001,7606,210,0,36
99,A820101001,7060,5944,5614,5834
100,A832201001,7648,2991,1347,2478
101,A840101001,7639,6581,6193,6437
102,A843101001,7646,7170,6933,7090
103,A850061001,7648,7472,7467,7470
104,A861202001,7065,2819,1566,2284
105,A873201001,7643,0,0,0
106,A900105050,7622,0,0,0
107,A901305050,7568,1170,0,464
108,A902101050,6560,1852,1369,1707
109,A902102050,7621,4452,3426,4071
110,A906215050,7533,2135,1457,1905
111,A907105050,7637,6046,5691,5927
112,A909106050,7648,6045,5812,5990
113,A920107050,6772,5930,5727,5864
114,A926000101,7612,3778,2865,3515
115,A930108040,7617,6272,6178,6242
116,A931108060,6306,5006,4927,4984
117,A932215050,7649,0,0,0
118,A937205050,6298,5023,4983,5012
119,A953205050,6555,797,0,311
120,A961205050,7000,0,0,0
121,A973121001,7447,3667,2861,3453
122,A975201001,7648,4345,3569,4048
123,A983201001,7596,2413,2031,2298
124,A986201001,7649,3847,3385,3650
125,A994202001,7649,6504,6097,6373
126,B022001001,7649,4596,4007,4377
127,B105201001,7553,3318,2593,3048
128,B109201001,7649,4795,4237,4585
129,B110000001,7649,5921,5690,5868
130,B115001001,7649,6242,5992,6128
131,B122201001,7058,2429,1980,2247
132,B128201001,7649,5135,4549,4952
133,B130001001,7233,6986,6889,6952
134,B134001001,7646,6505,6348,6456
135,B204201001,7649,0,0,0
136,B213001001,7649,7171,7049,7129
137,B222001001,7649,7366,7242,7327
138,B301001001,7649,7587,7563,7580
139,B315002001,7649,7614,7594,7609
140,B400101001,7649,4392,3423,3991
141,B402101001,7632,5751,4664,5370
142,B403101001,7649,6998,6088,6695
143,B413201001,7649,4052,2944,3502
144,B422431001,7595,7465,7070,7431
145,B435201001,7451,3836,2739,3419
146,B457201001,7640,5316,4650,5117
147,B460101001,7623,7602,7583,7594
148,B463101001,7649,7648,7645,7646
149,B466010101,6712,6712,6712,6712
150,B502001001,7628,7615,7610,7613
151,B517201001,7630,6404,5793,6162
152,B532201001,7649,4267,3228,3900
153,B557201001,7649,6523,5803,6283
154,B611101001,7649,7491,7445,7477
155,B720000001,7649,7623,7620,7622
156,B720000002,7610,7602,7602,7602
157,D013701001,7599,2662,2237,2491
158,D013702001,7636,5179,4024,4757
159,D013705001,7415,0,0,0
160,D015651001,7648,4248,3409,3933
161,D015652001,7549,5540,4772,5239
162,D015656001,7016,4433,3956,4224
163,D015850001,7500,0,0,0
164,D018600001,6311,0,0,0
165,D019223001,7475,5710,5561,5672
166,D019701001,7391,0,0,0
167,D019801001,6246,0,0,0
168,D020601001,7644,1762,363,1354
169,D020602001,7628,12,0,0
170,E156601001,7348,1425,0,561
171,E172601002,7499,3027,1447,2435
172,E172751001,7649,0,0,0
173,E176601001,7641,0,0,0
174,E182702001,7635,2359,1150,1906
175,E236741001,7465,0,0,0
176,E237110501,7003,4241,3869,4093
177,E240041101,6960,6300,6242,6279
178,E334601001,7540,0,0,0
179,E334602001,6773,0,0,0
180,E351121001,7649,197,0,39
181,E351122001,7642,4009,2694,3510
182,E351851001,7595,58,0,0
183,E364621001,7649,344,0,92
184,E364628001,6344,0,0,0
185,E366600501,6188,0,0,0
186,E367125002,6949,5805,5670,5754
187,E381126501,6347,6347,6347,6347
188,E403571001,7228,7146,6919,7103
189,E403572001,7620,3292,2051,2798
190,E403573001,7628,5966,5072,5639
191,E403653001,7649,249,0,78
192,E430601001,7614,2902,2253,2679
193,E430602001,6899,3269,2521,3030
194,E490571001,7529,2737,2332,2562
195,E490571101,7477,0,0,0
196,E490700501,7624,0,0,0
197,E490940501,7040,0,0,0
198,E510571001,7613,77,0,0
199,E520571001,7649,1575,498,1105
200,E530021001,7649,3165,2728,3000
201,E540031001,7649,7649,7649,7649
202,E540651001,7649,7649,7624,7649
203,E550572001,7649,7649,7649,7649
204,E633095001,6290,60,8,22
205,E635140201,7648,7197,6977,7112
206,E635142002,7491,3040,856,2173
207,E638607001,7649,4536,2401,3928
208,E639701001,7648,0,0,0
209,E639703001,6365,173,0,0
210,E640091001,7649,7649,7649,7649
211,E640601001,7631,2420,734,1569
212,E642601001,7649,7649,7590,7649
213,E647091002,6790,6790,6790,6790
214,E648093001,7614,7614,7614,7614
215,E649831501,7401,0,0,0
216,F001000101,7150,0,0,0
217,F002000101,7172,0,0,0
218,F041000201,7084,965,87,594
219,F232000101,7592,3615,349,2325
220,F333000201,7538,613,0,172
221,F351000104,6187,5552,5525,5545
222,F357000101,7649,7046,6519,6914
223,F358000402,6873,6290,6281,6286
224,F410000101,7117,34,0,0
225,F410000601,7646,3610,2423,3190
226,F411000101,7649,0,0,0
227,F413000101,7649,1426,234,827
228,F415000101,7649,4970,4320,4722
229,F416000201,7649,5752,5277,5596
230,F422000201,7649,6383,6174,6310
231,F428000101,7649,1046,106,595
232,F438000101,7649,0,0,0
233,F438000201,7649,0,0,0
234,F439000101,7649,7443,7342,7408
235,F439000301,6553,0,0,0
236,F445000101,7649,0,0,0
237,F447000302,7649,7518,7512,7515
238,F453000101,7649,6764,5554,6339
239,F459000101,7649,7554,7448,7531
240,F461000102,7649,0,0,0
241,F462000101,7649,0,0,0
242,F464000201,7580,4299,2617,3731
243,F466000101,7649,790,0,224
244,F467000101,7649,7179,6215,6921
245,F474000102,7649,2444,1688,2168
246,F483000202,7359,5180,4502,4942
247,F486000101,7139,0,0,0
248,F490000104,7649,7540,7536,7538
249,F619000101,7362,4547,3768,4226
250,F622000402,7639,7639,7639,7639
251,F624000201,7649,2890,1680,2406
252,F625000101,7649,5649,4378,5221
253,F641000101,7649,0,0,0
254,F652000101,7649,3392,1842,2709
255,F654000801,6457,0,0,0
256,F655000101,7649,6873,6447,6717
257,F657000201,6552,812,254,601
258,F664000104,7649,7649,7649,7649
259,F700000103,7336,7336,7336,7336
260,G017042010,7649,7649,7649,7649
261,G111041010,7645,5851,4228,5246
262,G206021010,7397,4709,3397,4238
263,G223041010,7544,6588,4972,5995
264,G400022010,7644,0,0,0
265,G510061010,7427,0,0,0
266,G600061010,7648,7648,7648,7648
267,G700021010,7404,264,0,0
268,G710061010,7644,0,0,0
269,H002001001,7649,4065,3361,3815
270,H010001001,7649,5205,4591,4984
271,H010002001,7642,6595,6382,6528
272,H020302002,7649,4482,3834,4253
273,H030101001,7648,3471,2714,3171
274,H032103001,7649,5655,5293,5532
275,H040001001,7638,6856,6750,6821
276,H040002001,7614,6349,6239,6302
277,H050301001,7649,2690,1572,2304
278,H070201001,7561,3216,2518,2929
279,H080001101,7632,7632,7632,7632
280,H080001201,7649,7633,7620,7631
281,H081001002,7649,7649,7649,7649
282,H100101001,7649,0,0,0
283,H105102001,7649,5925,5590,5796
284,H110200901,7443,24,0,0
285,H112202001,7649,5830,5399,5646
286,H120101001,7649,6783,6591,6717
287,H123101001,7608,7608,7608,7608
288,H133301001,7649,160,0,52
289,H150101001,7649,7649,7649,7649
290,H150351001,7588,135,0,22
291,H150391001,7606,0,0,0
292,H151321001,7649,62,0,0
293,H160301001,7649,2554,1533,2162
294,H170001001,7649,7649,7649,7649
295,H171301001,7649,0,0,0
296,H200102001,7620,4435,3567,4165
297,H201301001,6810,2039,818,1642
298,H202101001,7024,6200,5709,6048
299,H205101001,7649,6923,6780,6869
300,H206201001,7649,3484,2680,3167
301,H206202001,7086,0,0,0
302,H207311001,7640,45,0,0
303,H212202001,7649,5903,5225,5662
304,H214203002,7649,7097,6906,7039
305,H217232001,7502,4675,4194,4524
306,H218201001,7553,6728,6605,6690
307,H222101001,7649,7157,7124,7145
308,H224000501,7649,0,0,0
309,H226000201,7649,0,0,0
310,H232201001,7647,3335,2742,3121
311,H233202001,7647,4328,3926,4165
312,H234202002,7649,5456,5189,5364
313,H234203001,7648,5782,5569,5723
314,H240201001,7648,2590,1747,2292
315,H241201001,7649,4418,3843,4224
316,H242231001,7648,1451,367,900
317,H243401001,7646,3786,3153,3580
318,H244234001,7647,5877,5564,5761
319,H245202001,7649,6008,5780,5927
320,H246202001,7648,6474,6337,6422
321,H246371001,7579,0,0,0
322,H247301001,7648,4975,4351,4770
323,H248201001,7643,6571,6448,6534
324,H303000201,7648,0,0,0
325,H303000401,7377,0,0,0
326,H305000101,7649,0,0,0
327,H305000301,7644,0,0,0
328,H305000401,7562,3066,352,2004
329,H310042010,7643,0,0,0
330,H311041010,7018,3657,2946,3374
331,H317061010,7560,0,0,0
332,H318041010,7648,7648,7648,7648
333,H320000104,7176,7176,7176,7176
334,H320331001,7558,0,0,0
335,H323041010,7648,0,0,0
336,H325041010,7647,7601,7344,7527
337,H332201001,7649,2067,972,1618
338,H402203001,7649,1244,307,906
339,H403021010,7645,3488,2684,3229
340,H413041010,7649,0,0,0
341,H416021010,7648,7645,7186,7566
342,H420021011,7464,7464,7464,7464
343,H421041010,7507,0,0,0
344,H423041010,7647,6133,5005,5718
345,H425042010,7640,6857,6030,6530
346,H426021010,7498,7498,7498,7498
347,H432021010,7649,7649,7649,7649
348,H433043010,7640,1870,629,1325
349,H436061010,6852,378,0,0
350,H437042010,7648,6616,5480,6227
351,H438021010,7649,7649,7649,7649
352,H501102001,7648,6348,5179,5864
353,H502301001,7516,3556,2779,3197
354,H503102001,7544,6494,6060,6337
355,H503331001,7649,1496,226,977
356,H503334001,6928,815,0,295
357,H504061010,7636,0,0,0
358,H504062010,7646,0,0,0
359,H504063010,7639,7114,3825,6293
360,H504201001,7649,3572,2764,3258
361,H505321001,7431,0,0,0
362,H506061010,7646,941,0,95
363,H506201001,7648,6911,6444,6822
364,H507101001,6973,6954,6938,6951
365,H507101002,7487,7436,7407,7425
366,H507104001,7649,7498,7457,7485
367,H507105001,7649,7387,7301,7363
368,H508305001,7416,5624,5066,5441
369,H508307001,7649,3283,2532,2922
370,H509101002,7649,7649,7649,7649
371,H510203001,7615,7441,6973,7367
372,H510204001,7649,2523,1355,2167
373,H511231001,7599,4942,4348,4743
374,H512234001,7649,6837,6299,6633
375,H512235002,7596,7109,6886,7046
376,H513061010,7620,0,0,0
377,H514261001,7648,2627,2096,2473
378,H514262001,7599,3370,2895,3197
379,H515301001,7649,2348,1674,2165
380,H517201001,7594,7105,6982,7059
381,H517311001,7648,1208,228,758
382,H520101003,7648,7648,7648,7648
383,H520421001,7569,0,0,0
384,H521331001,7641,0,0,0
385,H522431001,7466,0,0,0
386,H524301001,7648,0,0,0
